"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"2737",1994,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",83.91753216
"2738",2010,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2739",1992,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",82.12824576
"2740",2001,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2741",2005,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",90.44842752
"2742",1992,"ZW","Forest (State)","Forestry","60","Woodland",64.23538176
"2743",2013,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2744",2015,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2745",2016,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"2746",1995,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",13.95643392
"2747",2004,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",115.76683008
"2748",1998,"ZW","Forest (State)","Forestry","60","Woodland",63.69859584
"2749",2008,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2750",1997,"BW","Mixed (Private)","Arable/pastoral/built","60","Woodland",397.48997376
"2751",2015,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",13.95643392
"2752",1996,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"2753",1992,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"2754",1998,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2755",2002,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2756",2000,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2757",2018,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",20.48732928
"2758",1994,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"2759",2011,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"2760",1995,"ZW","Wildlife (Private)","Wildlife","60","Woodland",6.97821696
"2761",2004,"ZW","Wildlife (State)","Wildlife","60","Woodland",87.40664064
"2762",2008,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",77.11824384
"2763",1994,"ZW","Forest (State)","Forestry","60","Woodland",50.01055488
